Authors,Title,Journal,Volume,DOI
"Maria Teresa Baldassarre, Neil A. Ernst, Ben Hermann 0001, Tim Menzies, Rahul Yedida",(Re)Use of Research Results (Is Rampant).,Commun. ACM,66(2023): 75-81,https://doi.org/10.1145/3554976
"Kewen Peng, Christian Kaltenecker, Norbert Siegmund, Sven Apel, Tim Menzies",VEER: enhancing the interpretability of model-based optimizations.,Empir. Softw. Eng.,28(2023): 61,https://doi.org/10.1007/s10664-023-10296-w
"Rahul Yedida, Rahul Krishna, Anup K. Kalia, Tim Menzies, Jin Xiao, Maja Vukovic",An expert system for redesigning software for cloud applications.,Expert Syst. Appl.,219(2023): 119673,https://doi.org/10.1016/j.eswa.2023.119673
"Tim Menzies, Brittany Johnson, David L. Roberts 0001, Lauren Alvarez","The Engineering Mindset Is an Ethical Mindset (We Just Don't Teach It That Way...
                Yet).",IEEE Softw.,40(2023): 103-110,https://doi.org/10.1109/MS.2022.3227597
"Lauren Alvarez, Tim Menzies",Don't Lie to Me: Avoiding Malicious Explanations With STEALTH.,IEEE Softw.,40(2023): 43-53,https://doi.org/10.1109/MS.2023.3244713
Tim Menzies,"How to ""Sell"" Ethics (Using AI): An Interview With Alexander Serebrenik.",IEEE Softw.,40(2023): 95-97,https://doi.org/10.1109/MS.2023.3249539
"George Mathew, Amritanshu Agrawal, Tim Menzies",Finding Trends in Software Research.,IEEE Trans. Software Eng.,49(2023): 1397-1410,https://doi.org/10.1109/TSE.2018.2870388
"Kewen Peng, Joymallya Chakraborty, Tim Menzies",FairMask: Better Fairness via Model-Based Rebalancing of Protected Attributes.,IEEE Trans. Software Eng.,49(2023): 2426-2439,https://doi.org/10.1109/TSE.2022.3220713
"Rahul Yedida, Hong Jin Kang, Huy Tu, Xueqi Yang, David Lo 0001, Tim Menzies",How to Find Actionable Static Analysis Warnings: A Case Study With FindBugs.,IEEE Trans. Software Eng.,49(2023): 2856-2872,https://doi.org/10.1109/TSE.2023.3234206
"Andre Lustosa, Tim Menzies","Optimizing Predictions for Very Small Data Sets: a case study on Open-Source
                Project Health Prediction.",CoRR,abs/2301.06577(2023): ,https://doi.org/10.48550/arXiv.2301.06577
"Lauren Alvarez, Tim Menzies",Don't Lie to Me: Avoiding Malicious Explanations with STEALTH.,CoRR,abs/2301.10407(2023): ,https://doi.org/10.48550/arXiv.2301.10407
